,undp_hdi,ccodealp,cname,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,region_recod
160,0.66500002,ZAF,South Africa,4,8820.0596,54.14699935913086,33.299999237060554,7.380000099999999,18.9,8.796984672546387,SubSaharian
27,0.79799998,BLR,Belarus,1,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,EastEurope
118,0.63700002,NAM,Namibia,4,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406,SubSaharian
45,0.85399997,CYP,Cyprus (1975-),3,27207.07,0.8579999804496765,2.5,9.04,,7.367611408233643,NorthAfrica
35,0.84500003,CHL,Chile,2,15519.08,17.81900024414063,7.800000190734862,7.1599998,38.900002,7.785857677459718,LatAm
37,,TWN,Taiwan,6,33965.871,23.43400001525879,3.9345641136169434,,,,EastAsia
110,0.75800002,MEX,Mexico,2,13609.42,119.7129974365234,13.899999618530268,5.2600002,14.5,6.2964210510253915,LatAm
47,0.48100001,BEN,Benin,4,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,SubSaharian
109,0.77899998,MUS,Mauritius,4,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457,SubSaharian
72,0.49000001,HTI,Haiti,2,1024.9399,,56.5,5.6799998,11.8,7.555654048919678,LatAm
97,0.42699999,LBR,Liberia,4,488.26999000000006,,53.599998474121094,3.72,14.2,10.036333084106449,SubSaharian
10,0.79000002,BHS,Bahamas,10,21672.029,0.3560000061988831,,9.4499998,,7.7423648834228525,Caribbean
87,0.741,JOR,Jordan,3,5188.9199,6.675000190734862,16.39999961853027,0.41,38.400002,7.452995777130128,NorthAfrica
20,0.75400001,BRA,Brazil,2,9815.2402,202.7689971923828,12.899999618530268,7.320000200000001,16.1,8.322834014892576,LatAm
173,0.71799999,TON,Tonga,9,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.1767706871032715,Pacific
21,0.70599997,BLZ,Belize,10,6649.1401,0.3499999940395355,15.699999809265142,6.579999900000001,,5.788949966430664,Caribbean
